/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179197.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179198.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179199.sra.uniq.bam
0	1	0
0	0	0
0	0	0
0	0	0
2	318	0
0	6	0
0	2	0
0	0	1
7939	10686	2453
314	3918	18974
771	5329	269
9343	10096	1373
749	7350	240
0	0	0
374	22	1432
1672	11257	830
8	6	0
0	0	0
0	0	0
818	2038	52
3362	19176	1817
8172	5905	1660
544	871	177
18288	12309	1245
0	3	0
461	1019	83
399	797	29
250	12142	233
0	7	1
621	280	56
1	1	1
21029	38047	2682
2721	2652	1657
14751	23106	2934
10906	14160	2695
6063	3424	492
0	0	0
0	0	0
0	0	0
4	0	1
968	2244	322
1929	2474	367
8054	5200	314
8	7	6
0	150	155
144	5781	2230
168	341	34
2111	5354	334
906	1005	118
400	2509	1626
10	19	2
0	3	0
0	10	0
32	126	7
6926	7119	957
0	854	2
5594	42503	1422
9033	18787	1649
169	329	18
127	7946	228
3547	22093	414
18	49	10
0	0	0
2790	3205	210
10400	17714	2129
5681	5922	216
3411	13363	1521
140	154	24
299	120	85
3547	2858	435
12793	20048	841
2480	2945	404
6372	15056	1228
22101	48526	4082
51	847	2
996	1728	155
2117	3548	254
72	43	67
55608	41309	13457
40	92	23
80	719	331
0	0	0
16023	4458	334
0	0	0
4459	376	22
3	11	0
5482	6428	957
2574	540	6
2111	2105	592
2930	3534	351
0	0	0
0	0	0
0	2	0
26	12	14
187	155	72
5908	8711	761
28015	22678	1306
0	0	0
748	833	226
0	0	0
0	58	2
2939	5750	473
3284	6591	1166
37619	15438	916
11036	20484	1537
8312	14404	451
0	4	0
0	2	0
753	5006	295
2	253	0
59303	4815	538
0	0	0
16598	18021	775
28	482	126
2630	4760	627
13596	514	391
16	191	14
712	586	27
0	24	26
0	0	0
6	8147	219
4	16	0
1	13	2
7451	29998	1244
23043	52381	5908
9834	50618	3375
2352	8980	389
182	394	12
1264	3458	222
1438	6130	316
328	1110	182
4068	24150	850
11325	36025	2264
3647	2288	108
0	0	0
302	467	74
4397	6245	1036
5749	17691	1050
5	349	0
136	502	40
219	220	28
4838	5884	878
124	232	38
144	135	96
39	0	0
63216	18160	68
54	1076	52
252753	86267	478
12648	14641	981
27628	51390	9248
1243	922	52
46808	3346	334
11436	31761	1677
6225	6720	421
22852	60867	12344
1	11	1
11785	14010	606
170	1450	88
5799	13033	1975
277	1469	245
91	299	17
2	0	0
0	6	6
7474	36590	2461
2350	2498	102
0	0	0
0	0	0
70	127	19
4836	58736	3762
298	1426	84
16418	62211	1828
8	4	5
1136	4022	275
0	339	53
0	56	0
0	1	0
32	12	0
0	12	0
0	0	1
302	658	4776
3320	6357	160
205	160	300
0	2	0
748	3588	432
18	46	0
3828	6548	809
0	2	0
9	2	4
30031	5434	262
1	0	0
0	1	0
0	0	0
253	1203	54
0	2	0
0	3	1
237	796	83
136	62	376
0	5	0
0	0	0
0	0	0
8	620	8
0	0	0
0	1	145
4	3	7
897	883	567
7	8	1
12148	40953	3872
4	163	260
2630	19904	4716
0	0	0
0	0	0
0	1	0
1038	22218	2065
0	0	0
0	0	0
25427	27326	5077
7	7	14
0	0	0
575	322	3
6517	8779	2456
2140	2252	3585
6	5435	5
2222	2421	184
109	103	15
2	4	0
0	2	0
62	94	12
89	11	23
0	0	0
1	6	15
0	0	0
2	4	37
12297	1869	2129
0	0	0
6	10	0
10376	2954	1263
5308	1554	60
12312	22253	4234
20	244	28
247	637	5686
148	1642	16
0	0	0
1604	70	26
1	2	0
11884	1444	1884
0	0	0
0	14	0
3	3359	6
0	0	0
2	2	74
0	0	0
0	0	0
272	211	14
114	194	277
1923	5450	337
3497	4487	369
0	574	6
5	42	2
12648	66490	4030
5225	17072	1938
1219	8573	100
1221	1838	126
11	7	6
12	19	0
833	2025	74
0	2	0
0	0	0
23889	282	2
48	208	4
2	0	2
2	1082	358
8	0	0
1608650	2802	124
256	0	0
1684	2356	383
158	94	2
0	0	0
0	0	0
3774	4185	730
2724	2623	1367
0	0	0
61345	67618	5452
82	607	0
0	29	0
269	5080	274
70	232	86
0	0	0
8575	21936	1008
0	0	0
1412	2009	53
5	75	5
4	136	0
0	0	0
0	0	0
2	6	2
0	4	0
16271	2468	82
8909	5226	690
0	0	0
6	0	102
0	0	0
1173	50	140
0	0	0
8	4	0
0	0	0
2	0	0
324	3915	28
0	0	0
0	14	0
2	618	36
4	20	44
0	0	0
8	3	0
45977	1096	102
8573	13965	1270
0	3	1
1031	4351	363
0	0	0
0	0	0
2	17	0
0	0	0
3	1	0
1207	132	10
0	0	0
998	391	46
2629	6133	622
4	110	0
0	0	0
2	70	4
4	1059	1476
0	0	0
1982	682	42
0	6	0
0	6	0
220	3563	76
0	0	0
0	0	0
2560	944	2584
0	0	0
802	1880	154
3378	4605	2819
3	17	2
12432	15105	1293
0	0	0
421	386	22
374	1052	831
0	0	0
30	629	5
292	3971	38
11759	25216	2597
0	0	0
11	13	100
2	3	0
2577	2975	289
22882	15842	258
20987	17202	1545
10021	14012	1648
66	228	20
0	0	0
540	2787	134
3	89	4
0	0	0
51	270	748
1359	3506	225
0	0	0
22	382	0
0	0	0
7	1	0
12	2	0
11	49	14
0	0	0
0	1	0
1	0	0
0	0	0
0	0	0
0	0	0
2	30	0
1181	215	2
0	8	0
0	6	0
23323	8847	201
1	0	1
2119	10467	600
2149	3094	290
0	0	0
0	118	5
74	84	2
0	0	0
2	2	0
7564	11657	940
0	0	0
1048	24599	901
348	2316	101
0	0	0
24848	1745	8
949	28	1
5454	109104	6906
27	37	0
0	0	0
0	0	0
1	2	0
0	0	0
0	0	0
526	1554	84
134	345	31
0	0	0
173	849	293
1261	21644	765
3170	965	297
34	356	4
3243	5210	479
25	86	24
0	0	0
8	28	5
642	918	67
31396	50199	4678
3063	3785	829
6390	2625	252
59237	44110	4048
1	0	0
5	90	2
3716	6259	491
323	7	0
456	1	0
490	7621	475
822	3565	461
2368	14779	235
0	0	0
696	2952	601
377	1833	1136
0	0	422
3	0	0
1012	54	0
0	0	0
34	15782	0
0	0	0
17652	7576	849
0	0	0
402778	7176	3915
0	0	0
0	6	0
308	238	64
17688	592	36
54149	46450	3198
2	2	0
0	0	0
0	0	0
0	1	0
0	12	0
0	0	0
0	0	0
0	0	0
0	0	0
2	10	26
1507	1284	294
0	0	0
0	0	0
0	6	16
0	0	0
0	0	0
0	0	0
0	0	8
199	3342	807
15850	15145	2405
76	80	33
2916	6721	189
15436	51354	2920
3923	6657	341
5530	9690	1579
0	0	0
0	0	0
