IDENTIFIER	log2FoldChange
loc_os03g46560.1|pacid:24125151	-2.73061872645178
loc_os03g47200.1|pacid:24122034	-4.83363045568314
loc_os03g47240.1|pacid:24125002	-1.38301450852779
loc_os03g47370.1|pacid:24126257	4.85751958632565
loc_os03g47420.1|pacid:24126195	-3.9150918100507
loc_os03g47574.1|pacid:24122203	5.02104586231506
loc_os03g47749.1|pacid:24128589	-3.81627597053993
loc_os03g48120.1|pacid:24124036	-3.40832628666812
loc_os03g48200.1|pacid:24128083	-5.10448122464993
loc_os03g48904.1|pacid:24125453	4.82192383373375
loc_os03g49310.1|pacid:24127926	-3.50026634295199
loc_os03g49430.1|pacid:24124562	-4.2588508969417
loc_os03g49830.1|pacid:24126715	-1.49514370706614
loc_os03g50230.1|pacid:24125140	-1.32465579606605
loc_os03g50410.1|pacid:24126945	-3.11982858147275
loc_os03g51880.1|pacid:24123893	-1.10085131217555
loc_os03g52370.1|pacid:24126428	-3.02750510173412
loc_os03g52420.1|pacid:24126521	3.98419878111532
loc_os03g52560.1|pacid:24127007	-3.02383541975865
loc_os03g53730.1|pacid:24127712	-1.81602950379948
loc_os03g53790.1|pacid:24125412	-3.31809937049952
loc_os03g54880.1|pacid:24123208	-4.11586945548175
loc_os03g55380.1|pacid:24122512	-1.45565620982228
loc_os03g55870.1|pacid:24124885	1.2141653320065
loc_os03g55980.1|pacid:24126916	-2.22117286544112
loc_os03g56290.1|pacid:24124986	3.5415244066681
loc_os03g56490.1|pacid:24125391	-3.89838726081043
loc_os03g56500.1|pacid:24123297	-1.14711021662546
loc_os03g56890.1|pacid:24128499	-3.87187899762296
