/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170742.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170744.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170762.sra.uniq.bam
LOC_Os01g04814.MSUR7	5774	3497	34041
LOC_Os01g04830.MSUR7	0	0	0
LOC_Os01g04840.MSUR7	1	1	48
LOC_Os01g04860.MSUR7	1583	285	2843
LOC_Os01g04870.MSUR7	975	242	3867
LOC_Os01g04900.MSUR7	5704	534	9223
LOC_Os01g04910.MSUR7	699	248	4515
LOC_Os01g04920.MSUR7	990	82	1825
LOC_Os01g04930.MSUR7	956	1475	18733
LOC_Os01g04950.MSUR7	1946	861	23675
LOC_Os01g04970.MSUR7	0	0	0
LOC_Os01g04990.MSUR7	1287	449	3370
LOC_Os01g05000.MSUR7	0	0	3
LOC_Os01g05010.MSUR7	1084	366	12320
LOC_Os01g05020.MSUR7	0	55	2
LOC_Os01g05040.MSUR7	0	1	0
LOC_Os01g05050.MSUR7	0	0	5
LOC_Os01g05060.MSUR7	4276	500	27079
LOC_Os01g05064.MSUR7	506	2471	7622
LOC_Os01g05070.MSUR7	2230	925	19521
LOC_Os01g05080.MSUR7	1859	245	8883
LOC_Os01g05090.MSUR7	3595	1020	12998
LOC_Os01g05100.MSUR7	3012	625	13794
LOC_Os01g05105.MSUR7	56	58	371
LOC_Os01g05120.MSUR7	2	12	13
LOC_Os01g05130.MSUR7	713	274	3212
LOC_Os01g05140.MSUR7	550	194	4922
LOC_Os01g05150.MSUR7	17	15	163
LOC_Os01g05160.MSUR7	0	0	13
LOC_Os01g05170.MSUR7	4	12	60
LOC_Os01g05180.MSUR7	34	61	527
LOC_Os01g05210.MSUR7	1	0	4
LOC_Os01g05220.MSUR7	0	0	0
LOC_Os01g05250.MSUR7	0	0	2
LOC_Os01g05260.MSUR7	0	0	4
LOC_Os01g05280.MSUR7	0	0	0
LOC_Os01g05289.MSUR7	2	6	210
