/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171629.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171630.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171631.sra.uniq.bam
9	5	3
7702	6955	10575
6	0	68
0	0	19
4	18	5
4	2	76
0	0	82
0	0	121
0	0	0
0	0	0
0	5	0
505	2214	941
1862	2198	3188
56	16	425
0	0	3
12	374	172
1537	1180	7399
3	4	18
3079	3138	6585
8746	33423	13207
36	4	57
4378	6362	23549
506	1335	2412
663	277	2919
3616	4592	10640
309	1121	5592
3	7	42
15	75	760
139	475	10201
0	2	73
0	0	6
0	0	0
1	0	836
0	0	35
0	0	0
0	0	2
0	3	6
0	0	2
0	2	3
0	0	0
2	0	67
0	0	15
0	2	3
9830	8533	11491
3	3	0
2	0	18
0	2	0
12121	563	7696
1263	1315	1763
66	246	11
6766	22277	3548
1743	164	943
0	0	252
6	16753	72
10	30	106
0	2	12
4	2629	352
12480	19172	22385
9918	11986	17185
4996	7157	6097
0	0	0
383	1287	1656
242	257	401
0	66	9
2	5	12
638	9699	1094240
32211	38051	61890
0	2	0
2662	1380	3173
70	121	123
0	0	0
22	90	35
1478	2279	4487
0	6	40
8087	6624	11226
2287	6280	10079
4353	6161	12676
2859	3925	9196
2	0	18020
18723	26118	37725
1917	4784	5849
13	203	9606
2706	0	1294
14	0	137
2	0	0
1195	1916	3301
2	2	1180
4063	11635	12852
0	54	16660
25442	82084	76168
28	91	675
174	104	864
1157	4791	13411
30	656	227
3801	1760	4582
25374	60347	78909
13358	27342	41205
14106	23199	53335
0	21	120
0	685	0
0	16	0
49	199	2
20337	26648	41664
9670	11601	53416
19	72	86
0	0	0
4	4	209
1	0	16
23	13	7
10	103	45
0	0	0
0	2	2
198	62	4
6232	8979	23428
4410	101733	28343
1107	2743	7201
6504	19100	24924
638	1395	49717
0	2	2
258	29322	1917
1954	7490	9293
165	795	1356
5	2	12
0	0	2
20	20	7
5816	11318	28326
15738	36607	13829
406	425	1458
22847	8871	14589
3	2	1
3296	10957	9274
72	245	406
25	1768	2450
0	0	40
1439	1526	1766
0	0	1
15086	19783	44237
643	26628	20375
19448	20076	30499
11122	20002	11577
3157	4750	5278
0	0	1
0	0	1
0	0	0
253	289	1452
1525	539	7176
1925	5039	7621
473	770	8447
0	0	74
0	0	14
112	3159	27674
209	531	384
2832	2369	5740
836	997	1639
3184	1422	536
14	71	19
34	969	858
6	24	68
140	3134	13775
8745	22943	14541
4	9	1854
8335	16991	29515
5655	8008	9860
104	404	976
130	966	55880
7225	4399	12894
390	354	770
84	177	100
1925	2094	4488
11859	12216	20948
1104	1725	5509
4802	12332	15507
84	290	251
68	627	1708
3091	6117	6262
4584	9236	60704
30607	864	14576
9072	10743	14636
15665	36494	33113
346	960	42
2122	4191	6260
660	1313	2404
43	789	166
14256	69278	59870
4190	4338	4212
9415	17799	7744
0	0	0
23865	4195	14862
0	0	0
1543	552	469
1	0	55
5695	5603	8429
966	466	1621
4264	11207	7286
3439	5867	6599
4	57	18
0	24	2
0	1	0
2	407	27
27	438	77
4278	3656	7442
30167	39700	78879
0	2	4
55	1018	5656
0	66	150
0	1	5770
2066	3722	12800
2326	6531	4598
11274	3236	11723
10361	12114	29174
10735	6508	17928
0	0	21
0	1	0
267	2356	3758
0	0	695
5063	6523	14421
0	0	0
9191	16719	36878
0	48	1496
1834	6608	10899
737	580	1515
0	0	1
78	5	390
0	0	0
1	0	0
15	1382	3717
0	0	20
11	103	316
11259	28023	48440
33857	92381	106257
10297	24545	65966
1717	5677	19206
33	80	117
772	1907	3386
